nombre,coherencia,stim,resp,rt
AS_2019_09_09_11_35_57.mat,0.2,0,0,0.996754508
AS_2019_09_09_11_35_57.mat,0.2,0,0,1.434185917
AS_2019_09_09_11_35_57.mat,0.3,0,0,1.331636306
AS_2019_09_09_11_35_57.mat,0.15,0,0,2.848905251
AS_2019_09_09_11_35_57.mat,0.15,0,0,3.15088793
AS_2019_09_09_11_35_57.mat,0.1,0,0,1.463730333
AS_2019_09_09_11_35_57.mat,0.1,1,1,1.699835636
AS_2019_09_09_11_35_57.mat,0.15,1,1,1.748624472
AS_2019_09_09_11_35_57.mat,0.15,1,0,2.632630489
AS_2019_09_09_11_35_57.mat,0.1,0,0,1.365890761
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.318067928
AS_2019_09_09_11_35_57.mat,0.7,0,0,0.797701508
AS_2019_09_09_11_35_57.mat,0.3,1,1,0.863995826
AS_2019_09_09_11_35_57.mat,0.15,0,0,1.099472433
AS_2019_09_09_11_35_57.mat,0.15,0,0,1.786081014
AS_2019_09_09_11_35_57.mat,0.2,1,1,1.06579637
AS_2019_09_09_11_35_57.mat,0.3,1,1,2.183374077
AS_2019_09_09_11_35_57.mat,0.2,0,0,0.831522557
AS_2019_09_09_11_35_57.mat,0.2,1,1,1.166497531
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.048448896
AS_2019_09_09_11_35_57.mat,0.15,0,0,0.933019865
AS_2019_09_09_11_35_57.mat,0.1,1,1,1.200124192
AS_2019_09_09_11_35_57.mat,0.2,1,1,1.216264557
AS_2019_09_09_11_35_57.mat,0.15,1,1,1.748498788
AS_2019_09_09_11_35_57.mat,0.1,1,1,1.915186148
AS_2019_09_09_11_35_57.mat,0.3,0,0,0.799542482
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.217089514
AS_2019_09_09_11_35_57.mat,0.15,1,1,2.331788713
AS_2019_09_09_11_35_57.mat,0.1,0,0,1.400678726
AS_2019_09_09_11_35_57.mat,0.3,1,1,1.748030335
AS_2019_09_09_11_35_57.mat,0.3,0,0,1.082909293
AS_2019_09_09_11_35_57.mat,0.7,0,0,1.399224453
AS_2019_09_09_11_35_57.mat,0.7,0,0,1.166317475
AS_2019_09_09_11_35_57.mat,0.3,0,0,1.648642955
AS_2019_09_09_11_35_57.mat,0.15,1,1,1.382894365
AS_2019_09_09_11_35_57.mat,0.7,0,0,0.684042987
AS_2019_09_09_11_35_57.mat,0.1,1,1,1.713889299
AS_2019_09_09_11_35_57.mat,0.1,0,1,1.466995216
AS_2019_09_09_11_35_57.mat,0.7,1,1,1.332454894
BB_2019_09_09_11_30_27.mat,0.7,1,1,2.031600987
BB_2019_09_09_11_30_27.mat,0.3,1,0,4.076687606
BB_2019_09_09_11_30_27.mat,0.15,0,0,3.863938025
BB_2019_09_09_11_30_27.mat,0.3,1,1,3.91661587
BB_2019_09_09_11_30_27.mat,0.2,0,0,2.181038606
BB_2019_09_09_11_30_27.mat,0.7,0,0,1.684780065
BB_2019_09_09_11_30_27.mat,0.3,1,1,1.48188281
BB_2019_09_09_11_30_27.mat,0.7,1,1,1.415519003
BB_2019_09_09_11_30_27.mat,0.2,0,0,2.080954285
BB_2019_09_09_11_30_27.mat,0.3,0,0,3.766160085
BB_2019_09_09_11_30_27.mat,0.2,1,1,1.401370101
BB_2019_09_09_11_30_27.mat,0.7,0,0,0.765467292
BB_2019_09_09_11_30_27.mat,0.3,0,0,1.666073273
BB_2019_09_09_11_30_27.mat,0.1,1,1,2.8311789
BB_2019_09_09_11_30_27.mat,0.3,1,1,2.631797965
BB_2019_09_09_11_30_27.mat,0.2,1,1,3.668179535
BB_2019_09_09_11_30_27.mat,0.2,0,0,1.265702442
BB_2019_09_09_11_30_27.mat,0.15,0,0,2.749865108
BB_2019_09_09_11_30_27.mat,0.7,1,1,0.964137286
BB_2019_09_09_11_30_27.mat,0.15,1,1,1.081532666
BB_2019_09_09_11_30_27.mat,0.3,1,1,1.316291562
BB_2019_09_09_11_30_27.mat,0.1,1,0,4.232360152
BB_2019_09_09_11_30_27.mat,0.2,1,1,1.982197368
BB_2019_09_09_11_30_27.mat,0.7,0,0,0.815096086
BB_2019_09_09_11_30_27.mat,0.1,0,1,2.018453892
BB_2019_09_09_11_30_27.mat,0.2,0,0,3.315868623
BB_2019_09_09_11_30_27.mat,0.2,1,1,1.197302882
BB_2019_09_09_11_30_27.mat,0.1,0,0,1.099200273
BB_2019_09_09_11_30_27.mat,0.15,0,1,2.75078662
BB_2019_09_09_11_30_27.mat,0.7,0,0,0.71420728
BB_2019_09_09_11_30_27.mat,0.1,1,1,2.051134103
BB_2019_09_09_11_30_27.mat,0.15,1,1,2.614916414
BB_2019_09_09_11_30_27.mat,0.15,0,0,4.497661911
BB_2019_09_09_11_30_27.mat,0.15,1,1,2.114584254
BB_2019_09_09_11_30_27.mat,0.2,0,0,2.41688828
BB_2019_09_09_11_30_27.mat,0.1,1,1,2.981344566
BB_2019_09_09_11_30_27.mat,0.15,0,0,1.667780409
BB_2019_09_09_11_30_27.mat,0.15,0,1,4.249063889
BB_2019_09_09_11_30_27.mat,0.3,0,0,1.632156306
BB_2019_09_09_11_30_27.mat,0.15,1,1,1.63420053
BB_2019_09_09_11_30_27.mat,0.3,0,0,1.431365271
BB_2019_09_09_11_30_27.mat,0.1,1,1,1.90124909
BB_2019_09_09_11_30_27.mat,0.1,0,0,1.99887143
BB_2019_09_09_11_30_27.mat,0.1,0,1,3.931680595
BB_2019_09_09_11_30_27.mat,0.1,0,0,2.06567535
BB_2019_09_09_11_30_27.mat,0.3,1,1,1.264659825
BB_2019_09_09_11_30_27.mat,0.7,0,0,0.731063127
BB_2019_09_09_11_30_27.mat,0.15,1,1,1.149169471
BB_2019_09_09_11_30_27.mat,0.7,1,1,0.918146025
BB_2019_09_09_11_30_27.mat,0.3,0,0,0.86521501
BB_2019_09_09_11_30_27.mat,0.3,0,0,1.115176286
BB_2019_09_09_11_30_27.mat,0.2,1,1,1.916480164
BB_2019_09_09_11_30_27.mat,0.1,0,0,3.732747889
BB_2019_09_09_11_30_27.mat,0.1,1,1,2.16469438
BB_2019_09_09_11_30_27.mat,0.15,1,1,1.298757094
BB_2019_09_09_11_30_27.mat,0.2,1,1,1.751517425
BB_2019_09_09_11_30_27.mat,0.2,0,0,1.946321041
BB_2019_09_09_11_30_27.mat,0.7,0,0,0.95135855
BB_2019_09_09_11_30_27.mat,0.7,1,1,0.731114635
BB_2019_09_09_11_30_27.mat,0.7,1,1,0.91564074
CF_2019_09_09_11_27_00.mat,0.2,1,0,1.713951345
CF_2019_09_09_11_27_00.mat,0.3,0,1,1.513125992
CF_2019_09_09_11_27_00.mat,0.1,0,0,2.250696685
CF_2019_09_09_11_27_00.mat,0.3,0,1,2.881334337
CF_2019_09_09_11_27_00.mat,0.2,1,1,3.200303473
CF_2019_09_09_11_27_00.mat,0.1,0,0,2.113670404
CF_2019_09_09_11_27_00.mat,0.15,1,1,1.151123245
CF_2019_09_09_11_27_00.mat,0.7,1,1,1.047114348
CF_2019_09_09_11_27_00.mat,0.15,1,1,2.365147255
CF_2019_09_09_11_27_00.mat,0.2,0,0,1.018541929
CF_2019_09_09_11_27_00.mat,0.15,1,1,1.49886195
CF_2019_09_09_11_27_00.mat,0.7,1,1,1.382605027
CF_2019_09_09_11_27_00.mat,0.3,1,1,2.16433726
CF_2019_09_09_11_27_00.mat,0.3,1,1,2.522737699
CF_2019_09_09_11_27_00.mat,0.3,0,0,1.366846915
CF_2019_09_09_11_27_00.mat,0.2,0,1,2.818210913
CF_2019_09_09_11_27_00.mat,0.7,0,0,1.097193381
CF_2019_09_09_11_27_00.mat,0.2,1,1,1.16609592
CF_2019_09_09_11_27_00.mat,0.1,1,1,2.417770355
CF_2019_09_09_11_27_00.mat,0.3,1,1,1.564204639
